Stato;Iniziato;Completato;Tempo impiegato;Valutazione/10,00;D. 1 /2,00;D. 2 /2,00;D. 3 /2,00;D. 4 /2,00;D. 5 /2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:34;3 min. 11 secondi;4,00;2,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 33 secondi;8,00;2,00;2,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:35;4 min. 2 secondi;4,00;2,00;0,00;0,00;2,00;0,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:35;4 min. 22 secondi;4,00;2,00;2,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 52 secondi;6,00;0,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:36;4 min. 27 secondi;4,00;2,00;0,00;2,00;0,00;0,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 55 secondi;4,00;2,00;0,00;2,00;0,00;0,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 59 secondi;4,00;0,00;0,00;2,00;2,00;0,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:36;5 min. 4 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 52 secondi;4,00;2,00;0,00;2,00;0,00;0,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 59 secondi;4,00;2,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 58 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:35;3 min. 34 secondi;4,00;2,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 53 secondi;4,00;0,00;0,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:38;6 min. 1 secondo;2,00;0,00;0,00;2,00;0,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:37;5 min. 46 secondi;8,00;2,00;2,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:38;6 min. 1 secondo;4,00;0,00;0,00;2,00;2,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:36;3 min. 57 secondi;6,00;2,00;2,00;0,00;2,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:37;5 min. 40 secondi;2,00;0,00;0,00;2,00;0,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:35;3 min. 15 secondi;4,00;2,00;0,00;0,00;2,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:37;5 min.;6,00;2,00;2,00;0,00;2,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:37;4 min. 55 secondi;2,00;0,00;2,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:37;5 min. 1 secondo;2,00;2,00;0,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:38;5 min. 40 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:37;4 min. 35 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:37;4 min. 41 secondi;4,00;0,00;0,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:37;4 min. 37 secondi;6,00;2,00;0,00;2,00;2,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:38;6 min.;8,00;2,00;2,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:38;5 min. 33 secondi;0,00;0,00;0,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:38;5 min. 48 secondi;2,00;0,00;2,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:36;3 min. 30 secondi;4,00;2,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:38;5 min. 59 secondi;4,00;2,00;2,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:38;5 min. 23 secondi;6,00;2,00;0,00;2,00;2,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:37;4 min. 16 secondi;6,00;2,00;2,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:36;4 min. 7 secondi;2,00;0,00;0,00;0,00;2,00;0,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:38;5 min. 52 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:38;5 min. 48 secondi;6,00;0,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:32;17 aprile 2023  14:38;5 min. 57 secondi;4,00;0,00;0,00;2,00;2,00;0,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:35;2 min. 45 secondi;6,00;2,00;2,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:39;6 min.;4,00;2,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:38;5 min. 39 secondi;6,00;2,00;0,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:38;5 min. 33 secondi;6,00;2,00;0,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:38;5 min. 41 secondi;6,00;2,00;0,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:37;4 min. 28 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:38;5 min. 14 secondi;4,00;2,00;0,00;0,00;2,00;0,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:39;6 min.;4,00;2,00;0,00;2,00;0,00;0,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:36;2 min. 32 secondi;2,00;0,00;2,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:38;4 min. 48 secondi;4,00;2,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:39;5 min. 37 secondi;2,00;2,00;0,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:38;5 min. 26 secondi;4,00;2,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:39;5 min. 30 secondi;8,00;2,00;2,00;2,00;2,00;0,00
Completato;17 aprile 2023  14:33;17 aprile 2023  14:38;4 min. 38 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:35;17 aprile 2023  14:39;3 min. 45 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:35;17 aprile 2023  14:39;3 min. 59 secondi;8,00;2,00;2,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:35;17 aprile 2023  14:40;4 min. 33 secondi;6,00;2,00;0,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:35;17 aprile 2023  14:40;4 min. 38 secondi;6,00;2,00;0,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:36;17 aprile 2023  14:40;4 min. 4 secondi;4,00;0,00;0,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:36;17 aprile 2023  14:41;4 min. 49 secondi;6,00;2,00;2,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:36;17 aprile 2023  14:42;5 min. 47 secondi;2,00;0,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:36;17 aprile 2023  14:39;3 min. 5 secondi;2,00;0,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:37;17 aprile 2023  14:41;4 min. 7 secondi;4,00;2,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:37;17 aprile 2023  14:39;1 min. 53 secondi;2,00;2,00;0,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:38;17 aprile 2023  14:43;4 min. 39 secondi;6,00;2,00;0,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:38;17 aprile 2023  14:43;4 min. 50 secondi;2,00;0,00;0,00;2,00;0,00;0,00
Completato;17 aprile 2023  14:38;17 aprile 2023  14:44;6 min. 1 secondo;4,00;2,00;2,00;0,00;0,00;-
Completato;17 aprile 2023  14:39;17 aprile 2023  14:42;2 min. 44 secondi;6,00;2,00;0,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:39;17 aprile 2023  14:44;4 min. 25 secondi;8,00;2,00;2,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:39;17 aprile 2023  14:42;2 min. 28 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:40;17 aprile 2023  14:45;5 min. 29 secondi;4,00;2,00;0,00;2,00;0,00;0,00
Completato;17 aprile 2023  14:40;17 aprile 2023  14:45;5 min. 25 secondi;4,00;2,00;0,00;2,00;0,00;0,00
Completato;17 aprile 2023  14:40;17 aprile 2023  14:46;6 min. 11 secondi;4,00;2,00;0,00;0,00;2,00;-
Completato;17 aprile 2023  14:42;17 aprile 2023  14:48;6 min.;0,00;-;-;-;-;-
Completato;17 aprile 2023  14:43;17 aprile 2023  14:48;5 min. 23 secondi;8,00;0,00;2,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:43;17 aprile 2023  14:49;5 min. 56 secondi;6,00;2,00;2,00;2,00;0,00;0,00
Completato;17 aprile 2023  14:43;17 aprile 2023  14:49;5 min. 38 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:47;17 aprile 2023  14:51;3 min. 53 secondi;6,00;0,00;2,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:47;17 aprile 2023  14:48;33 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:47;17 aprile 2023  14:48;56 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:47;17 aprile 2023  14:53;5 min. 41 secondi;2,00;2,00;0,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:47;17 aprile 2023  14:52;4 min. 18 secondi;6,00;2,00;0,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:52;17 aprile 2023  14:52;39 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;17 aprile 2023  15:39;17 aprile 2023  15:44;5 min. 15 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  16:11;17 aprile 2023  16:14;3 min. 3 secondi;6,00;2,00;0,00;0,00;2,00;2,00
Completato;17 aprile 2023  16:16;17 aprile 2023  16:20;3 min. 49 secondi;6,00;2,00;0,00;2,00;2,00;0,00
Completato;17 aprile 2023  16:22;17 aprile 2023  16:23;46 secondi;6,00;2,00;0,00;2,00;0,00;2,00
Completato;17 aprile 2023  16:26;17 aprile 2023  16:27;1 min. 28 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  16:30;17 aprile 2023  16:31;1 min. 7 secondi;6,00;2,00;0,00;2,00;2,00;0,00
Completato;17 aprile 2023  16:34;17 aprile 2023  16:35;37 secondi;6,00;2,00;0,00;2,00;0,00;2,00
Completato;17 aprile 2023  16:39;17 aprile 2023  16:40;42 secondi;6,00;2,00;0,00;0,00;2,00;2,00
Completato;17 aprile 2023  16:43;17 aprile 2023  16:44;1 min. 9 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  16:46;17 aprile 2023  16:48;1 min. 9 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;17 aprile 2023  16:50;17 aprile 2023  16:56;6 min.;2,00;2,00;-;-;-;-
Completato;19 aprile 2023  19:13;19 aprile 2023  19:19;5 min. 56 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;25 aprile 2023  18:44;25 aprile 2023  18:49;4 min. 58 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;27 aprile 2023  15:57;27 aprile 2023  16:01;3 min. 58 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;1 maggio 2023  09:36;1 maggio 2023  09:42;6 min. 1 secondo;6,00;0,00;2,00;2,00;2,00;-
Completato;1 maggio 2023  09:52;1 maggio 2023  09:58;6 min.;0,00;-;-;-;-;-
Completato;2 maggio 2023  14:15;2 maggio 2023  14:17;1 min. 24 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;9 maggio 2023  12:49;9 maggio 2023  12:55;6 min.;0,00;-;-;-;-;-
Completato;9 maggio 2023  15:40;9 maggio 2023  15:46;6 min.;0,00;0,00;-;-;-;-
Completato;16 maggio 2023  13:07;16 maggio 2023  13:13;6 min.;0,00;-;-;-;-;-
Completato;19 maggio 2023  11:41;19 maggio 2023  11:47;5 min. 47 secondi;6,00;2,00;0,00;2,00;2,00;0,00
Completato;25 maggio 2023  15:41;25 maggio 2023  15:47;6 min.;0,00;0,00;0,00;0,00;0,00;0,00
Completato;29 maggio 2023  13:20;29 maggio 2023  13:22;2 min. 9 secondi;6,00;2,00;0,00;0,00;2,00;2,00
Completato;31 maggio 2023  12:16;31 maggio 2023  12:22;6 min.;0,00;-;-;-;-;-
;;;;5,10;1,48;0,63;0,97;0,87;1,15
